[2026-04-04T13:24:30.868511] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.0% | Time: 2026-04-04 13:24:30 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c3b0b184a370274d42e4.jpg
[2026-04-04T13:24:40.198905] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.8% | Time: 2026-04-04 13:24:40 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c3c0b184a370274d42e9.jpg
[2026-04-04T13:25:22.685481] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.2% | Time: 2026-04-04 13:25:22 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c3eab184a370274d42ec.jpg
[2026-04-04T13:25:54.697328] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.6% | Time: 2026-04-04 13:25:54 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c40ab184a370274d42f3.jpg
[2026-04-04T13:26:01.035647] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 82.0% | Time: 2026-04-04 13:26:01 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c411b184a370274d42f6.jpg
[2026-04-04T13:26:10.707438] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.6% | Time: 2026-04-04 13:26:10 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c41ab184a370274d42f9.jpg
[2026-04-04T13:26:51.922896] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 79.0% | Time: 2026-04-04 13:26:51 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c443b184a370274d4306.jpg
[2026-04-04T13:27:24.009661] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.1% | Time: 2026-04-04 13:27:24 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c463b184a370274d430d.jpg
[2026-04-04T13:27:30.243095] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 82.9% | Time: 2026-04-04 13:27:30 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c46ab184a370274d430f.jpg
[2026-04-04T13:27:39.447187] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.6% | Time: 2026-04-04 13:27:39 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c473b184a370274d4311.jpg
[2026-04-04T13:28:20.252214] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.0% | Time: 2026-04-04 13:28:20 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c49cb184a370274d4315.jpg
[2026-04-04T13:28:54.222946] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.2% | Time: 2026-04-04 13:28:54 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c4beb184a370274d4321.jpg
[2026-04-04T13:29:00.815609] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 82.5% | Time: 2026-04-04 13:29:00 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c4beb184a370274d4321.jpg
[2026-04-04T13:29:49.653274] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.0% | Time: 2026-04-04 13:29:49 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c4f5b184a370274d432d.jpg
[2026-04-04T13:30:22.239463] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.1% | Time: 2026-04-04 13:30:22 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c516b184a370274d432e.jpg
[2026-04-04T13:30:28.395793] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.9% | Time: 2026-04-04 13:30:28 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c516b184a370274d432e.jpg
[2026-04-04T13:30:38.342747] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 75.1% | Time: 2026-04-04 13:30:38 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c526b184a370274d4332.jpg
[2026-04-04T13:31:18.733245] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 79.5% | Time: 2026-04-04 13:31:18 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c54eb184a370274d4343.jpg
[2026-04-04T13:31:51.661293] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.9% | Time: 2026-04-04 13:31:51 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c56fb184a370274d4347.jpg
[2026-04-04T13:31:58.257664] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 83.4% | Time: 2026-04-04 13:31:58 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c56fb184a370274d4347.jpg
[2026-04-04T13:32:07.739832] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.9% | Time: 2026-04-04 13:32:07 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c57fb184a370274d434c.jpg
[2026-04-04T13:33:21.242441] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.1% | Time: 2026-04-04 13:33:21 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c5c9b184a370274d4353.jpg
[2026-04-04T13:33:26.273978] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.8% | Time: 2026-04-04 13:33:26 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c5c9b184a370274d4353.jpg
[2026-04-04T13:33:31.441521] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.0% | Time: 2026-04-04 13:33:31 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c5c9b184a370274d4353.jpg
[2026-04-04T13:33:36.587780] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.2% | Time: 2026-04-04 13:33:36 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c5d8b184a370274d435e.jpg
[2026-04-04T13:34:17.140830] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 75.0% | Time: 2026-04-04 13:34:17 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c601b184a370274d4367.jpg
[2026-04-04T13:34:52.874582] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.2% | Time: 2026-04-04 13:34:52 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c624b184a370274d436b.jpg
[2026-04-04T13:34:59.227794] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 84.8% | Time: 2026-04-04 13:34:59 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c629b184a370274d436e.jpg
[2026-04-04T13:35:48.169379] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.3% | Time: 2026-04-04 13:35:48 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c65cb184a370274d4378.jpg
[2026-04-04T13:36:20.307475] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.9% | Time: 2026-04-04 13:36:20 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c67cb184a370274d4385.jpg
[2026-04-04T13:36:26.746641] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 82.2% | Time: 2026-04-04 13:36:26 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c682b184a370274d4387.jpg
[2026-04-04T13:37:16.671746] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.1% | Time: 2026-04-04 13:37:16 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c6b4b184a370274d4393.jpg
[2026-04-04T13:37:25.244336] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.4% | Time: 2026-04-04 13:37:25 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c6bdb184a370274d4394.jpg
[2026-04-04T13:37:50.841506] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.6% | Time: 2026-04-04 13:37:50 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c6d6b184a370274d4395.jpg
[2026-04-04T13:37:57.145376] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 82.5% | Time: 2026-04-04 13:37:57 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c6dbb184a370274d4396.jpg
[2026-04-04T13:38:05.598136] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.9% | Time: 2026-04-04 13:38:05 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c6e5b184a370274d4397.jpg
[2026-04-04T13:38:47.666499] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.9% | Time: 2026-04-04 13:38:47 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c70fb184a370274d43a8.jpg
[2026-04-04T13:39:19.556927] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.7% | Time: 2026-04-04 13:39:19 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c72fb184a370274d43ad.jpg
[2026-04-04T13:39:26.165540] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 82.9% | Time: 2026-04-04 13:39:26 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c72fb184a370274d43ad.jpg
[2026-04-04T13:39:34.495516] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.8% | Time: 2026-04-04 13:39:34 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c73eb184a370274d43af.jpg
[2026-04-04T13:40:15.308937] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 79.5% | Time: 2026-04-04 13:40:15 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c767b184a370274d43b6.jpg
[2026-04-04T13:40:50.275462] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.5% | Time: 2026-04-04 13:40:50 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c78ab184a370274d43c0.jpg
[2026-04-04T13:40:56.592942] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.6% | Time: 2026-04-04 13:40:56 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c78eb184a370274d43c1.jpg
[2026-04-04T13:41:05.231932] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.8% | Time: 2026-04-04 13:41:05 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c799b184a370274d43c4.jpg
[2026-04-04T13:41:44.251135] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 75.0% | Time: 2026-04-04 13:41:44 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c7c0b184a370274d43c8.jpg
[2026-04-04T13:42:17.957088] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.1% | Time: 2026-04-04 13:42:17 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c7e1b184a370274d43cc.jpg
[2026-04-04T13:42:24.242628] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.9% | Time: 2026-04-04 13:42:24 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c7e1b184a370274d43cc.jpg
[2026-04-04T13:42:34.851758] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.6% | Time: 2026-04-04 13:42:34 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c7f2b184a370274d43cd.jpg
[2026-04-04T13:43:16.558608] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.9% | Time: 2026-04-04 13:43:16 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c81cb184a370274d43d7.jpg
[2026-04-04T13:43:48.837965] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.6% | Time: 2026-04-04 13:43:48 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c83cb184a370274d43dd.jpg
[2026-04-04T13:43:55.215341] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 82.2% | Time: 2026-04-04 13:43:55 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c843b184a370274d43de.jpg
[2026-04-04T13:44:03.793608] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 79.0% | Time: 2026-04-04 13:44:03 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c84bb184a370274d43e1.jpg
